Source	Target	Weight
#fondaminskij	#fondaminskij	4.0
#fondaminskij	#olejnikov	1.0
#fondaminskij	#stepun	2.0
#gessen	#gessen	1.0
#gessen	#sirin	1.0
#gessen	#stepun	1.0
#kartashev	#kartashev	1.0
#kornilov	#kornilov	1.0
#kornilov	#nobel'	1.0
#krymov	#krymov	1.0
#kul'man	#kul'man	1.0
#kuznetsova	#kuznetsova	8.0
#kuznetsova	#nobel'	1.0
#kuznetsova	#olejnikov	1.0
#kuznetsova	#zurov	2.0
#marga_stepun	#marga_stepun	1.0
#marga_stepun	#stepun	1.0
#minskij	#minskij	1.0
#nekljudov	#nekljudov	1.0
#nobel'	#nobel'	3.0
#nobel'	#olejnikov	1.0
#olejnikov	#olejnikov	3.0
#olejnikov	#stepun	1.0
#roschin	#roschin	1.0
#shaljapin	#shaljapin	1.0
#shaljapina	#shaljapina	1.0
#sirin	#sirin	1.0
#sirin	#stepun	1.0
#soldatskij	#soldatskij	1.0
#stepun	#stepun	5.0
#trotskij	#trotskij	1.0
#tsvibak	#tsvibak	1.0
#zurov	#zurov	2.0
